,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
9497,12800.0,1280.0,0.0,0.0,17500.0,15600.0,0.0,7470.0,1200.0,0.0,23000.0,25000.0,8080.0,34400.0
9498,7900.0,1650.0,0.0,9800.0,12300.0,10300.0,0.0,3570.0,292.0,0.0,16100.0,16900.0,1250.0,17900.0
9499,7500.0,1350.0,0.0,11000.0,12700.0,11100.0,0.0,6470.0,2420.0,0.0,21700.0,21800.0,2760.0,24000.0
9500,7200.0,2760.0,0.0,0.0,11300.0,10700.0,0.0,6490.0,1340.0,0.0,17600.0,18400.0,6400.0,24400.0
9501,6730.0,262.0,0.0,0.0,6660.0,6970.0,0.0,1310.0,470.0,0.0,8660.0,9080.0,858.0,9000.0
9502,7410.0,858.0,0.0,0.0,10400.0,11600.0,0.0,6050.0,0.0,0.0,21400.0,21700.0,4420.0,25400.0
9503,5480.0,1970.0,0.0,0.0,8590.0,8850.0,0.0,9270.0,1140.0,0.0,19700.0,21400.0,8750.0,30800.0
9504,7880.0,926.0,0.0,0.0,6330.0,6870.0,0.0,3540.0,1060.0,0.0,11800.0,11900.0,1210.0,12800.0
9505,6360.0,221.0,0.0,0.0,6970.0,7160.0,0.0,1280.0,517.0,0.0,8730.0,8850.0,536.0,8560.0
9506,7040.0,324.0,0.0,0.0,6850.0,6660.0,0.0,2320.0,1310.0,0.0,10200.0,9970.0,4120.0,14700.0
9507,9700.0,514.0,0.0,0.0,11700.0,11500.0,0.0,10900.0,745.0,0.0,26100.0,26800.0,4720.0,31200.0
9508,6260.0,596.0,0.0,0.0,7260.0,6910.0,0.0,1420.0,51.6,0.0,8660.0,8970.0,1710.0,10300.0
9509,5770.0,177.0,0.0,0.0,6820.0,7040.0,0.0,1420.0,653.0,0.0,8900.0,9180.0,1570.0,9680.0
9510,5390.0,488.0,0.0,0.0,6610.0,6810.0,0.0,5470.0,735.0,0.0,13700.0,15000.0,7180.0,22200.0
